,Id,Brands,Models,Mileage,Body_Type,Seating,Prices,Engine_CC,Transmission,Fuel_Type,No_Of_Cylinders,price_in_crores
236,236,Audi, e-tron GT,0.0,Coupe,5, 1.70 Crore,0,Automatic,Electric,0,17000000.0
237,237,Audi, RS e-tron GT,0.0,Coupe,5, 1.94 Crore,0,Automatic,Electric,0,19400000.0
238,238,Audi, RS Q8,8.0,SUV,5, 2.22 Crore,3998,Automatic,Petrol,0,22200000.000000004
239,239,Kia, Sonet,18.3,SUV,5, 8.0 Lakh,1197,Manual,Petrol,4,800000.0
240,240,Kia, Carens,15.7,MUV,7, 10.4 Lakh,1497,Manual,Petrol,4,1040000.0
241,241,Kia, Seltos,17.0,SUV,5, 10.9 Lakh,1497,Manual,Petrol,4,1090000.0
242,242,Kia, EV6,0.3,SUV,5, 61.0 Lakh,0,Automatic,Electric,0,6100000.0
243,243,Kia, Clavis,18.0,SUV,5, 6.0 Lakh,1200,Automatic,Petrol,0,600000.0
244,244,Kia, Sorento,0.0,SUV,7, 25.0 Lakh,3298,Manual,Petrol,0,2500000.0
245,245,Kia, Sportage,0.0,SUV,5, 25.0 Lakh,1999,Manual,Petrol,0,2500000.0
246,246,Kia, Tasman,0.0,Pickup,5, 30.0 Lakh,2213,Manual,Diesel,0,3000000.0
247,247,Kia, Carnival,0.0,MUV,7, 40.0 Lakh,2199,Manual,Diesel,0,4000000.0
248,248,Kia, EV9,0.0,SUV,7, 80.0 Lakh,0,Automatic,Electric,0,8000000.0
249,249,Kia, Sonet 2020-2023,18.2,SUV,5, 7.8 Lakh,1197,Manual,Petrol,4,780000.0
250,250,Tata, Tiago,19.0,Hatchback,5, 5.6 Lakh,1199,Manual,Petrol,3,560000.0
251,251,Tata, Punch,18.8,SUV,5, 6.0 Lakh,1199,Manual,Petrol,3,600000.0
252,252,Tata, Tigor,19.3,Sedan,5, 6.3 Lakh,1199,Manual,Petrol,3,630000.0
253,253,Tata, Altroz,18.1,Hatchback,5, 6.6 Lakh,1199,Manual,Petrol,3,660000.0
254,254,Tata, Tiago NRG,20.1,Hatchback,5, 6.7 Lakh,1199,Manual,Petrol,3,670000.0
255,255,Tata, Tiago EV,0.0,Hatchback,5, 8.0 Lakh,0,Automatic,Electric,0,800000.0
256,256,Tata, Nexon,6.9,SUV,5, 8.1 Lakh,1199,Manual,Petrol,3,810000.0
257,257,Tata, Punch EV,0.0,SUV,5, 11.0 Lakh,0,Automatic,Electric,0,1100000.0
258,258,Tata, Tigor EV,0.0,Sedan,5, 12.5 Lakh,0,Automatic,Electric,0,1250000.0
259,259,Tata, Nexon EV,0.0,SUV,5, 14.5 Lakh,0,Automatic,Electric,0,1450000.0
260,260,Tata, Harrier,17.0,SUV,5, 15.5 Lakh,1956,Manual,Diesel,4,1550000.0
261,261,Tata, Punch Facelift,7.5,SUV,5, 6.0 Lakh,1198,Manual,Petrol,0,600000.0
262,262,Tata, Curvv,0.0,Coupe,5, 10.5 Lakh,0,Automatic,Electric,0,1050000.0
263,263,Tata, Altroz EV,0.0,Hatchback,5, 11.0 Lakh,0,Automatic,Electric,0,1100000.0
264,264,Tata, Harrier EV,0.0,SUV,5, 25.0 Lakh,0,Automatic,Electric,0,2500000.0
265,265,Tata, Sierra EV,0.0,SUV,5, 25.0 Lakh,1199,Automatic,Electric,0,2500000.0
266,266,Tata, Safari EV,0.0,SUV,6, 25.0 Lakh,1956,Automatic,Electric,0,2500000.0
267,267,Tata, Avinya,0.0,SUV,5, 30.0 Lakh,0,Automatic,Electric,0,3000000.0
268,268,Tata, Nexon 2017-2023,17.1,SUV,5, 8.0 Lakh,0,Manual,Petrol,3,800000.0
269,269,Tata, Nexon EV Prime,9.16,SUV,5, 14.5 Lakh,0,Automatic,Electric,0,1450000.0
270,270,Tata, Harrier 2019-2023,14.6,SUV,5, 15.2 Lakh,0,Manual,Diesel,4,1520000.0
271,271,Tata, Nexon EV Max,0.0,SUV,5, 16.5 Lakh,0,Automatic,Electric,0,1650000.0
272,272,Toyota, Glanza,22.4,Hatchback,5, 6.9 Lakh,1197,Manual,Petrol,4,690000.0
273,273,Toyota, Urban Cruiser Taisor,21.0,SUV,5, 7.7 Lakh,1197,Manual,Petrol,0,770000.0
274,274,Toyota, Rumion,20.1,MUV,7, 10.4 Lakh,1462,Manual,Petrol,4,1040000.0
