,Id,Brands,Models,Mileage,Body_Type,Seating,Prices,Engine_CC,Transmission,Fuel_Type,No_Of_Cylinders,price_in_crores
125,125,Land Rover, Range Rover Velar,9.2,SUV,5, 94.3 Lakh,1997,Automatic,Diesel,0,9430000.0
126,126,Land Rover, Discovery,8.7,SUV,7, 95.7 Lakh,1997,Automatic,Petrol,4,9570000.0
127,127,Land Rover, Range Rover Sport,13.2,SUV,5, 1.64 Crore,2997,Automatic,Petrol,6,16399999.999999998
128,128,Land Rover, Range Rover,8.7,SUV,7, 2.39 Crore,2997,Automatic,Diesel,8,23900000.0
129,129,Land Rover, Range Rover Evoque 2018-2023,15.7,SUV,5, 72.1 Lakh,1997,Automatic,Diesel,4,7209999.999999999
130,130,Hyundai, Grand i10 Nios,20.2,Hatchback,5, 5.9 Lakh,1197,Manual,Petrol,4,590000.0
131,131,Hyundai, Exter,19.2,SUV,5, 6.1 Lakh,1197,Manual,Petrol,4,610000.0
132,132,Hyundai, Aura,20.5,Sedan,5, 6.5 Lakh,1197,Manual,Petrol,4,650000.0
133,133,Hyundai, i20,19.6,Hatchback,5, 7.0 Lakh,1197,Manual,Petrol,4,700000.0
134,134,Hyundai, Venue,17.5,SUV,5, 7.9 Lakh,1197,Manual,Petrol,4,790000.0
135,135,Hyundai, i20 N Line,20.0,Hatchback,5, 10.0 Lakh,998,Manual,Petrol,3,1000000.0
136,136,Hyundai, Creta,17.4,SUV,5, 11.0 Lakh,1497,Manual,Petrol,4,1100000.0
137,137,Hyundai, Verna,18.6,Sedan,5, 11.0 Lakh,1497,Manual,Petrol,0,1100000.0
138,138,Hyundai, Venue N Line,18.0,SUV,5, 12.1 Lakh,998,Manual,Petrol,4,1210000.0
139,139,Hyundai, Alcazar,14.5,SUV,7, 16.8 Lakh,1482,Manual,Petrol,4,1680000.0
140,140,Hyundai, Creta N Line,18.0,SUV,5, 16.8 Lakh,1482,Manual,Petrol,4,1680000.0
141,141,Hyundai, Kona Electric,0.0,SUV,5, 23.8 Lakh,0,Automatic,Electric,0,2380000.0
142,142,Hyundai, Tucson,6.16,SUV,5, 29.0 Lakh,1999,Automatic,Petrol,4,2900000.0
143,143,Hyundai, IONIQ 5,0.0,SUV,5, 46.0 Lakh,0,Automatic,Electric,0,4600000.0
144,144,Hyundai, Stargazer,0.0,MUV,6, 10.0 Lakh,1499,Manual,Petrol,0,1000000.0
145,145,Hyundai, Alcazar Facelift,0.0,SUV,7, 18.0 Lakh,1497,Manual,Diesel,0,1800000.0
146,146,Hyundai, Kona Electric 2024,0.0,SUV,5, 25.0 Lakh,0,Automatic,Electric,0,2500000.0
147,147,Hyundai, Palisade,0.0,SUV,7, 40.0 Lakh,3800,Automatic,Diesel,0,4000000.0
148,148,Hyundai, New Santa Fe,13.0,SUV,7, 45.0 Lakh,2199,Manual,Diesel,0,4500000.0
149,149,Hyundai, Ioniq 6,0.0,Sedan,5, 65.0 Lakh,0,Automatic,Electric,0,6500000.0
150,150,Hyundai, Creta 2018-2023,14.0,SUV,5, 10.9 Lakh,1497,Manual,Petrol,4,1090000.0
151,151,Mahindra, Bolero Maxitruck Plus,17.2,Pickup,2, 7.5 Lakh,2523,Manual,Diesel,4,750000.0
152,152,Mahindra, XUV300,16.5,SUV,5, 8.0 Lakh,1197,Manual,Petrol,3,800000.0
153,153,Mahindra, BOLERO PikUP ExtraStrong,14.3,Pickup,2, 8.7 Lakh,1298,Manual,Diesel,4,869999.9999999999
154,154,Mahindra, Bolero PikUp ExtraLong,14.3,Pickup,2, 8.8 Lakh,2523,Manual,Diesel,0,880000.0000000001
155,155,Mahindra, Bolero,16.0,SUV,7, 9.9 Lakh,1493,Manual,Diesel,0,990000.0
156,156,Mahindra, Bolero Neo,17.3,SUV,7, 9.9 Lakh,1493,Manual,Diesel,3,990000.0
157,157,Mahindra, Bolero Camper,13.9,Pickup,5, 10.3 Lakh,2523,Manual,Diesel,4,1030000.0
158,158,Mahindra, Thar,15.0,SUV,4, 11.3 Lakh,1497,Manual,Diesel,4,1130000.0
159,159,Mahindra, Bolero Neo Plus,0.0,SUV,9, 11.4 Lakh,2184,Manual,Diesel,0,1140000.0
160,160,Mahindra, Scorpio Classic,16.5,SUV,7, 13.6 Lakh,2184,Manual,Diesel,4,1360000.0
161,161,Mahindra, Scorpio-N,13.3,SUV,7, 13.6 Lakh,1997,Manual,Petrol,4,1360000.0
162,162,Mahindra, XUV700,13.0,SUV,5, 14.0 Lakh,1999,Manual,Petrol,4,1400000.0
163,163,Mahindra, Marazzo,17.3,MUV,7, 14.4 Lakh,1497,Manual,Diesel,4,1440000.0
164,164,Mahindra, XUV400 EV,0.0,SUV,5, 15.5 Lakh,0,Automatic,Electric,0,1550000.0
165,165,Mahindra, XUV 3XO,0.83,SUV,5, 9.0 Lakh,1197,Manual,Petrol,3,900000.0
166,166,Mahindra, Five Door Thar,20.1,SUV,4, 20.0 Lakh,2184,Manual,Diesel,0,2000000.0
167,167,Mahindra, BE 05,0.0,SUV,5, 24.0 Lakh,0,Automatic,Electric,0,2400000.0
168,168,Mahindra, Global Pik Up,18.1,Pickup,5, 25.0 Lakh,2498,Manual,Diesel,0,2500000.0
169,169,Mahindra, Thar E,0.0,SUV,4, 25.0 Lakh,0,Automatic,Electric,0,2500000.0
170,170,Mahindra, KUV 100 NXT,11.5,Hatchback,6, 6.2 Lakh,1198,Manual,Petrol,3,620000.0
171,171,Mahindra, E Verito,0.0,Sedan,5, 9.1 Lakh,0,Automatic,Electric,0,910000.0
172,172,Mercedes-Benz, A-Class Limousine,17.5,Sedan,5, 45.8 Lakh,1332,Automatic,Petrol,4,4580000.0
173,173,Mercedes-Benz, C-Class,16.9,Sedan,5, 60.0 Lakh,1496,Automatic,Petrol,4,6000000.0
174,174,Mercedes-Benz, AMG GLA 35,13.4,SUV,5, 63.5 Lakh,1991,Automatic,Petrol,4,6350000.0
175,175,Mercedes-Benz, GLB,9.7,SUV,7, 63.8 Lakh,1332,Automatic,Petrol,4,6380000.0
176,176,Mercedes-Benz, GLC Coupe,12.7,SUV,5, 72.5 Lakh,1991,Automatic,Petrol,4,7250000.0
177,177,Mercedes-Benz, E-Class,15.0,Sedan,5, 75.0 Lakh,1991,Automatic,Petrol,4,7500000.0
178,178,Mercedes-Benz, EQB,0.0,SUV,7, 77.5 Lakh,0,Automatic,Electric,0,7750000.0
179,179,Mercedes-Benz, GLE,9.0,SUV,5, 90.0 Lakh,1950,Automatic,Diesel,4,9000000.0
180,180,Mercedes-Benz, Amg A 45 S,12.0,Hatchback,5, 92.5 Lakh,1991,Automatic,Petrol,6,9250000.0
181,181,Mercedes-Benz, AMG E 53,11.7,Sedan,5, 1.06 Crore,2999,Manual,Petrol,6,10600000.0
